구분,대분류,소분류,질문/조항,내용/답변,활용_키워드
인사규정집,근무환경,근무시간,제10조(근무시간),"① 임직원의 기본 근무시간은 주 5일, 1일 8시간(09:00~18:00)을 원칙으로 하며, 주 40시간을 초과할 수 없다. ② 휴게시간은 12:00부터 13:00까지(1시간)로 하며, 이는 근무시간에 포함되지 아니한다. ③ 회사는 업무 특성에 따라 시차출퇴근제 등 탄력적 근로시간제를 운영할 수 있다.","근무시간, 주40시간, 휴게시간, 시차출퇴근"
인사규정집,근무환경,연장근무,제12조(연장 및 휴일근근무),"① 업무상 필요한 경우 부서장의 사전 승인을 얻어 주 12시간 한도로 연장근무를 명할 수 있다. ② 연장, 야간(22:00~06:00) 및 휴일근무에 대해서는 근로기준법에 의거하여 통상임금의 100분의 50을 가산하여 지급한다.","연장근무, 야간근무, 휴일근무, 수당가산"
인사규정집,휴무제도,연차휴가,제25조(연차유급휴가),"① 1년간 80% 이상 출근한 임직원에게는 15일의 연차유급휴가를 부여한다. ② 계속근로기간이 1년 미만인 근로자 또는 1년간 80% 미만 출근한 근로자에게는 1개월 개근 시 1일의 유급휴가를 준다. ③ 연차휴가는 발생일로부터 1년간 행사하지 아니하면 소멸된다. 단, 회사의 귀책사유로 사용하지 못한 경우는 예외로 한다.","연차휴가, 유급휴가, 연차소멸, 근로기간"
인사규정집,휴무제도,경조휴가,제28조(경조사 휴가),임직원이 경조사가 있을 경우 다음 기준에 따라 유급 경조휴가를 부여한다. 1) 본인 결혼: 5일 / 2) 자녀 결혼: 1일 / 3) 배우자 사망: 5일 / 4) 부모 및 배우자 부모 사망: 5일 / 5) 조부모 사망: 3일. 경조휴가 기간 중의 휴무일 및 공휴일은 휴가 일수에 산입하지 아니한다.,"경조사, 결혼휴가, 사망휴가, 유급휴가"
인사규정집,휴무제도,병가,제30조(병가),"① 임직원이 업무 외 질병 또는 부상으로 직무를 수행할 수 없을 때에는 연간 최대 60일 범위 내에서 병가를 신청할 수 있다. ② 병가 기간 중 최초 30일은 유급(기본급의 100%)으로 하며, 초과하는 30일은 무급으로 처리한다. ③ 병가 신청 시에는 의사의 진단서를 첨부하여야 한다.","병가, 질병, 부상, 의사진단서, 유급병가"
인사규정집,인사평가,포상,제45조(포상),회사는 다음 각 호에 해당하는 임직원에 대하여 포상할 수 있다. 1) 회사의 경영 성과 및 기술 발전에 탁월한 공로가 있는 자 2) 현격한 원가절감이나 생산성 향상에 기여한 자 3) 타의 모범이 되는 선행이나 수범적 행위가 있는 자.,"포상, 경영성과, 원가절감, 공로자"
인사규정집,인사평가,징계,제50조(징계의 종류),"임직원에 대한 징계의 종류는 다음과 같다. 1) 견책: 시말서를 제출 수수하고 훈계함. 2) 감급: 1회 총액이 평균임금 1일분의 반액, 총액이 1임금지급기 임금총액의 10분의 1을 초과하지 못함. 3) 정직: 1개월 이상 3개월 이하로 하며 직무를 부여하지 않고 임금을 지급하지 않음. 4) 해고: 근로계약을 해지함.","징계종류, 견책, 감급, 정직, 해고"
FAQ,근무환경,근무시간,시차출퇴근제는 어떻게 신청하나요?,"사내 인트라넷 [인사시스템 -> 근로계획신청 -> 시차출퇴근 변경] 메뉴에서 신청 가능합니다. 매월 25일까지 신청 시 다음 달 1일부터 적용되며, 코어타임(10:00~16:00)을 반드시 준수하여 근무 시간을 설정해야 합니다.","시차출퇴근제, 코어타임, 인트라넷, 근로계획"
FAQ,근무환경,연장근무,야간근무나 휴일근무 시 식대가 지원되나요?,"평일 연장근무를 2시간 이상 수행하거나(20시 이후 퇴근), 휴일근무를 4시간 이상 수행하는 경우 사내 식권 시스템을 통해 야간/휴일 식대가 자동으로 지급됩니다. 사외 근무 시에는 영수증 청구를 통해 최대 10,000원까지 정산 가능합니다.","야간식대, 휴일식대, 식비지원, 영수증청구"
FAQ,휴무제도,연차휴가,올해 남은 연차를 내년으로 이월할 수 있나요?,근로기준법 및 사내 취업규칙에 따라 미사용 연차는 당해 연도 말(12월 31일)에 자동 소멸되며 이월되지 않습니다. 회사는 연차 사용 촉진 제도를 운영하고 있으므로 기한 내 모두 사용하시기 바랍니다.,"연차이월, 연차소멸, 사용촉진제도"
